Modelo,Velocidade (km/h)
Merc 450SE,143
Camaro Z28,141
Ferrari Dino,150
Ferrari Dino,133
Merc 450SE,137
Cadillac Fleetwood,145
Mazda RX4 Wag,119
Merc 230,139
Toyota Corona,93
Hornet 4 Drive,136
Datsun 710,146
Mazda RX4 Wag,121
Volvo 142E,94
Fiat X1-9,120
Duster 360,125
Merc 450SL,100
Valiant,103
Camaro Z28,149
Pontiac Firebird,117
Valiant,99
Merc 230,139
Merc 230,122
Camaro Z28,152
Dodge Challenger,103
Merc 280,148
Valiant,107
Pontiac Firebird,125
Lotus Europa,111
Hornet 4 Drive,136
Merc 450SL,93
Valiant,107
Toyota Corolla,114
Valiant,91
Fiat X1-9,125
Fiat 128,89
Hornet Sportabout,137
Merc 450SLC,106
Chrysler Imperial,122
Cadillac Fleetwood,130
Merc 240D,125
Duster 360,134
Merc 450SLC,129
Merc 450SLC,131
Cadillac Fleetwood,120
Valiant,86
Lotus Europa,100
Merc 450SLC,124
Toyota Corolla,98
Camaro Z28,159
Fiat X1-9,124
Datsun 710,140
Hornet Sportabout,124
Camaro Z28,163
Merc 450SL,102
Fiat X1-9,102
Duster 360,130
Lotus Europa,96
Mazda RX4 Wag,97
Cadillac Fleetwood,134
Honda Civic,142
Lincoln Continental,155
Merc 450SE,135
Pontiac Firebird,108
Merc 240D,139
Chrysler Imperial,132
Volvo 142E,97
Chrysler Imperial,124
Porsche 914-2,113
Porsche 914-2,99
Datsun 710,148
Lotus Europa,80
Duster 360,131
Duster 360,143
Porsche 914-2,106
Volvo 142E,103
Porsche 914-2,103
AMC Javelin,166
Merc 230,111
Fiat X1-9,102
Mazda RX4 Wag,120
Volvo 142E,103
Merc 280C,127
Pontiac Firebird,103
Mazda RX4 Wag,110
Duster 360,128
Pontiac Firebird,108
Merc 230,125
Dodge Challenger,95
Lotus Europa,94
Cadillac Fleetwood,143
Dodge Challenger,99
Pontiac Firebird,125
Ford Pantera L,101
Mazda RX4 Wag,112
Merc 280C,149
Dodge Challenger,104
Merc 230,119
Merc 450SE,145
Datsun 710,136
Camaro Z28,156
Merc 450SE,146
Fiat X1-9,92
Volvo 142E,96
Merc 230,112
Cadillac Fleetwood,131
Merc 280,134
Merc 230,126
Porsche 914-2,121
Mazda RX4 Wag,83
Merc 450SE,147
Fiat X1-9,113
Honda Civic,117
Merc 450SL,95
Maserati Bora,127
Merc 240D,128
Mazda RX4 Wag,99
Hornet 4 Drive,113
Merc 280C,158
Volvo 142E,99
Duster 360,143
Duster 360,128
Honda Civic,146
Merc 450SLC,130
Datsun 710,128
Dodge Challenger,124
Duster 360,145
Lotus Europa,113
Hornet 4 Drive,126
Volvo 142E,96
Pontiac Firebird,132
Merc 450SE,132
AMC Javelin,143
Datsun 710,144
Ferrari Dino,143
Merc 230,124
Maserati Bora,124
Fiat X1-9,119
Merc 230,125
Lotus Europa,105
AMC Javelin,148
Fiat 128,105
Porsche 914-2,93
Merc 450SE,141
Merc 240D,141
Datsun 710,137
Merc 280,123
Volvo 142E,87
Merc 450SE,142
Mazda RX4 Wag,115
Datsun 710,121
Lotus Europa,118
Merc 450SE,149
Pontiac Firebird,123
Merc 230,122
Merc 230,134
Toyota Corona,94
Datsun 710,136
Toyota Corona,101
Valiant,97
Camaro Z28,133
Camaro Z28,130
Mazda RX4 Wag,107
Volvo 142E,92
Merc 280C,160
Pontiac Firebird,122
AMC Javelin,151
Merc 240D,133
Fiat 128,102
Pontiac Firebird,110
Duster 360,138
Merc 230,140
Cadillac Fleetwood,129
Porsche 914-2,103
Volvo 142E,94
Pontiac Firebird,108
Fiat X1-9,111
Hornet Sportabout,138
Valiant,102
Camaro Z28,144
Duster 360,146
Merc 240D,138
Porsche 914-2,109
Valiant,104
Maserati Bora,121
Cadillac Fleetwood,134
Honda Civic,117
Cadillac Fleetwood,128
Honda Civic,145
Valiant,109
Fiat X1-9,119
AMC Javelin,150
Lotus Europa,114
Datsun 710,146
Volvo 142E,102
Merc 280,145
Hornet Sportabout,124
Pontiac Firebird,113
AMC Javelin,148
AMC Javelin,150
Chrysler Imperial,118
Merc 240D,139
Toyota Corolla,117
Fiat X1-9,97
Merc 230,114
Lotus Europa,113
Merc 240D,145
Merc 240D,121
Mazda RX4 Wag,116
Merc 450SE,161
Merc 450SLC,120
Hornet 4 Drive,126
Merc 450SE,146
Fiat X1-9,110
Porsche 914-2,108
Dodge Challenger,85
Merc 230,135
Fiat X1-9,110
Ferrari Dino,121
Datsun 710,124
Porsche 914-2,104
Hornet 4 Drive,130
Dodge Challenger,109
Hornet Sportabout,149
Merc 450SE,145
Duster 360,133
Ferrari Dino,126
Valiant,113
Valiant,112
Camaro Z28,132
Merc 280C,142
Ferrari Dino,143
Merc 450SE,132
Hornet Sportabout,143
Dodge Challenger,105
Merc 280,155
Porsche 914-2,110
Ford Pantera L,90
Porsche 914-2,94
Merc 230,121
Pontiac Firebird,140
Honda Civic,133
Cadillac Fleetwood,115
Merc 230,136
Porsche 914-2,101
Merc 230,116
Camaro Z28,149
Porsche 914-2,90
Hornet Sportabout,154
Merc 450SL,98
Datsun 710,120
Merc 450SLC,129
Merc 450SE,129
Hornet Sportabout,128
Toyota Corolla,83
Merc 450SLC,107
Pontiac Firebird,139
Pontiac Firebird,132
Valiant,99
Hornet Sportabout,120
Ford Pantera L,93
Mazda RX4 Wag,104
Merc 450SLC,96
Toyota Corona,100
Cadillac Fleetwood,147
Pontiac Firebird,120
Lotus Europa,112
Mazda RX4 Wag,111
Dodge Challenger,93
Volvo 142E,89
Merc 280C,130
Merc 240D,151
Toyota Corona,81
Hornet Sportabout,150
Merc 240D,128
Pontiac Firebird,113
Cadillac Fleetwood,142
Mazda RX4 Wag,97
Mazda RX4 Wag,95
Hornet Sportabout,132
Camaro Z28,149
Volvo 142E,90
Pontiac Firebird,120
Lotus Europa,104
Duster 360,143
Duster 360,150
AMC Javelin,136
AMC Javelin,147
Maserati Bora,109
Merc 450SLC,128
Merc 450SLC,130
Fiat X1-9,101
Datsun 710,151
Ford Pantera L,99
Valiant,102
Valiant,93
Ford Pantera L,82
Pontiac Firebird,118
Hornet Sportabout,163
Duster 360,148
Merc 450SL,85
Porsche 914-2,108
Merc 230,145
Volvo 142E,96
AMC Javelin,141
Pontiac Firebird,130
Merc 450SL,101
Merc 280,134
Cadillac Fleetwood,114
Valiant,71
Lotus Europa,105
Camaro Z28,142
Datsun 710,129
Merc 450SL,92
Chrysler Imperial,107
Chrysler Imperial,120
Volvo 142E,95
Maserati Bora,120
Toyota Corolla,106
Pontiac Firebird,105
Merc 280,149
Pontiac Firebird,134
Hornet 4 Drive,122
Merc 230,127
Merc 280C,142
Merc 450SE,132
Lincoln Continental,141
Datsun 710,152
Toyota Corolla,116
Ferrari Dino,148
Volvo 142E,79
Toyota Corona,104
Fiat 128,116
Merc 280,142
Pontiac Firebird,134
Honda Civic,119
Merc 280C,141
Volvo 142E,89
Merc 450SLC,129
Pontiac Firebird,113
AMC Javelin,146
Honda Civic,146
Maserati Bora,135
Merc 450SL,89
Pontiac Firebird,123
Merc 450SLC,133
Merc 230,120
Porsche 914-2,103
Datsun 710,125
Cadillac Fleetwood,130
Camaro Z28,154
Porsche 914-2,104
Merc 230,112
Chrysler Imperial,140
Valiant,103
Volvo 142E,86
Valiant,104
Merc 280,129
Porsche 914-2,107
Merc 450SLC,108
Porsche 914-2,103
Lincoln Continental,158
Merc 280C,144
Fiat X1-9,114
Duster 360,135
Merc 230,119
Merc 240D,135
Hornet Sportabout,137
Pontiac Firebird,119
Cadillac Fleetwood,126
Dodge Challenger,111
Valiant,94
Toyota Corona,98
Merc 450SLC,127
Pontiac Firebird,117
Valiant,101
Merc 240D,135
Datsun 710,144
Camaro Z28,153
Dodge Challenger,104
Duster 360,124
Hornet Sportabout,142
Toyota Corolla,105
Fiat X1-9,121
Pontiac Firebird,111
Datsun 710,108
Ferrari Dino,146
Fiat X1-9,86
Merc 450SL,99
Ferrari Dino,143
Mazda RX4 Wag,111
Pontiac Firebird,112
Merc 450SLC,133
Porsche 914-2,105
Toyota Corona,116
Merc 450SLC,112
Fiat X1-9,109
Volvo 142E,82
Merc 450SLC,99
Hornet Sportabout,149
AMC Javelin,144
Merc 280C,141
Datsun 710,125
Mazda RX4 Wag,104
Merc 230,132
Merc 280,147
AMC Javelin,165
Merc 450SE,142
Honda Civic,119
Fiat X1-9,97
Lotus Europa,103
Volvo 142E,103
Hornet Sportabout,153
Lotus Europa,111
Camaro Z28,150
AMC Javelin,148
Duster 360,130
Merc 240D,160
Merc 280,149
Merc 240D,136
Cadillac Fleetwood,148
Fiat X1-9,100
Maserati Bora,127
Camaro Z28,138
Porsche 914-2,112
Camaro Z28,145
Merc 450SL,89
Merc 280,139
Fiat X1-9,122
Merc 240D,119
Dodge Challenger,112
Dodge Challenger,90
Duster 360,129
Merc 450SLC,121
Hornet 4 Drive,155
Camaro Z28,135
Hornet 4 Drive,135
Volvo 142E,77
Chrysler Imperial,126
Merc 240D,122
Ferrari Dino,141
Porsche 914-2,96
Hornet Sportabout,146
Merc 240D,136
Lotus Europa,89
Dodge Challenger,113
Fiat X1-9,89
Merc 280,144
Honda Civic,145
Merc 450SE,155
Porsche 914-2,99
Dodge Challenger,122
Merc 450SL,101
Volvo 142E,89
Duster 360,131
Ford Pantera L,91
Duster 360,139
Duster 360,127
Merc 240D,154
Hornet 4 Drive,120
Cadillac Fleetwood,121
Maserati Bora,114
Pontiac Firebird,114
Porsche 914-2,104
Porsche 914-2,97
Chrysler Imperial,137
Merc 230,119
Merc 230,111
Merc 280,132
Merc 450SE,116
Volvo 142E,114
Merc 280C,167
Maserati Bora,140
Fiat X1-9,117
Cadillac Fleetwood,115
Hornet 4 Drive,130
Dodge Challenger,95
Merc 280C,126
Merc 450SLC,147
Maserati Bora,126
Merc 230,146
Volvo 142E,88
Camaro Z28,135
Cadillac Fleetwood,118
Mazda RX4 Wag,102
Ford Pantera L,93
AMC Javelin,134
Hornet Sportabout,148
Duster 360,125
Maserati Bora,125
Merc 450SLC,110
Merc 230,115
Hornet Sportabout,138
Chrysler Imperial,147
Porsche 914-2,118
Camaro Z28,140
Ford Pantera L,99
Ferrari Dino,135
Merc 240D,129
Merc 450SLC,104
Merc 450SLC,120
Honda Civic,143
Duster 360,130
Valiant,94
Fiat X1-9,111
Pontiac Firebird,112
Merc 230,124
Hornet 4 Drive,129
Ford Pantera L,87
Valiant,98
Fiat 128,96
Hornet 4 Drive,119
Merc 240D,159
Lotus Europa,94
Camaro Z28,158
Fiat X1-9,116
Pontiac Firebird,115
Merc 280,146
Maserati Bora,127
Camaro Z28,141
Porsche 914-2,86
Fiat X1-9,103
Merc 280,134
Lotus Europa,88
Cadillac Fleetwood,143
Camaro Z28,144
Merc 450SLC,107
Pontiac Firebird,113
Merc 280C,149
Fiat 128,95
Mazda RX4 Wag,125
Fiat 128,119
Datsun 710,135
Lotus Europa,114
Merc 450SE,140
Pontiac Firebird,140
Chrysler Imperial,129
Datsun 710,137
Toyota Corona,94
Dodge Challenger,98
Dodge Challenger,97
Chrysler Imperial,128
Honda Civic,122
Merc 240D,146
Porsche 914-2,100
Merc 280,151
Merc 240D,139
Volvo 142E,91
Maserati Bora,127
Merc 450SE,140
Lotus Europa,118
Merc 450SE,146
Toyota Corolla,92
Merc 450SE,145
Fiat 128,82
Merc 450SLC,122
Merc 280,135
Merc 240D,138
Merc 230,139
Pontiac Firebird,119
Hornet Sportabout,139
Datsun 710,143
Lincoln Continental,131
Mazda RX4 Wag,112
Maserati Bora,132
Honda Civic,142
Volvo 142E,92
Merc 230,114
Fiat 128,108
Merc 280C,151
AMC Javelin,156
Merc 280,127
Merc 280C,147
Camaro Z28,142
Chrysler Imperial,117
Merc 240D,126
Honda Civic,146
Lotus Europa,100
Datsun 710,145
Hornet Sportabout,137
Hornet Sportabout,121
Porsche 914-2,110
Merc 450SLC,110
Cadillac Fleetwood,138
Toyota Corona,113
Fiat X1-9,112
Maserati Bora,136
AMC Javelin,137
Fiat 128,113
Pontiac Firebird,146
Datsun 710,140
Merc 280C,133
Lotus Europa,104
Pontiac Firebird,111
Maserati Bora,147
Duster 360,133
Fiat X1-9,119
Toyota Corolla,102
Merc 450SE,141
Lincoln Continental,141
Hornet Sportabout,139
Ferrari Dino,119
Valiant,118
AMC Javelin,144
Duster 360,120
Merc 230,119
Porsche 914-2,81
Pontiac Firebird,138
Lotus Europa,89
AMC Javelin,148
Porsche 914-2,118
Duster 360,132
Honda Civic,133
Cadillac Fleetwood,133
Volvo 142E,82
Lotus Europa,102
Mazda RX4 Wag,113
Lincoln Continental,147
Cadillac Fleetwood,139
Merc 230,118
Mazda RX4 Wag,102
Honda Civic,141
Dodge Challenger,89
Merc 450SE,142
Honda Civic,133
Porsche 914-2,103
Valiant,123
Hornet Sportabout,131
Merc 230,117
Ferrari Dino,136
Fiat 128,94
Merc 280,143
Fiat 128,104
Porsche 914-2,109
Porsche 914-2,107
Ferrari Dino,141
Merc 450SLC,132
Valiant,104
Fiat X1-9,110
Valiant,100
Fiat X1-9,123
Hornet Sportabout,140
Fiat X1-9,131
Duster 360,113
Pontiac Firebird,105
Merc 450SLC,111
Lotus Europa,98
Merc 450SE,160
Maserati Bora,130
Cadillac Fleetwood,133
Merc 230,144
Ferrari Dino,144
Ferrari Dino,129
Merc 280,142
Merc 450SL,91
Honda Civic,138
Duster 360,144
Duster 360,136
Merc 450SL,113
Merc 230,121
Camaro Z28,150
AMC Javelin,146
Dodge Challenger,114
Camaro Z28,155
Datsun 710,123
Cadillac Fleetwood,142
Chrysler Imperial,132
Pontiac Firebird,134
Datsun 710,131
Merc 450SL,84
Pontiac Firebird,122
Hornet Sportabout,140
Merc 450SLC,125
Honda Civic,141
AMC Javelin,160
Valiant,117
Merc 280,156
Camaro Z28,156
Duster 360,134
Merc 450SL,122
AMC Javelin,141
Pontiac Firebird,98
Lotus Europa,108
Camaro Z28,140
Hornet 4 Drive,136
Merc 450SL,102
Mazda RX4 Wag,95
Hornet Sportabout,159
Pontiac Firebird,118
Merc 450SLC,123
Toyota Corona,86
Camaro Z28,144
Merc 450SLC,117
Merc 280C,142
Hornet Sportabout,131
Merc 450SLC,120
Honda Civic,145
Duster 360,131
Honda Civic,124
Mazda RX4 Wag,89
Honda Civic,145
Cadillac Fleetwood,133
Cadillac Fleetwood,148
Merc 240D,141
Honda Civic,127
Dodge Challenger,113
Porsche 914-2,95
Merc 280,132
AMC Javelin,139
Honda Civic,140
Ferrari Dino,138
Duster 360,112
Dodge Challenger,98
Valiant,117
Lincoln Continental,152
Merc 240D,146
Merc 280C,141
AMC Javelin,140
Ferrari Dino,125
Camaro Z28,126
Lotus Europa,87
Ford Pantera L,102
Merc 230,130
Merc 450SE,150
Toyota Corolla,114
Ford Pantera L,85
Ferrari Dino,152
Fiat X1-9,116
Merc 450SLC,128
Hornet Sportabout,139
Honda Civic,137
Valiant,77
Hornet Sportabout,115
Fiat 128,103
Fiat X1-9,113
Merc 280,146
Maserati Bora,112
Fiat X1-9,101
Ferrari Dino,132
Merc 280C,147
Maserati Bora,131
AMC Javelin,157
Honda Civic,135
Merc 450SE,138
Datsun 710,129
Porsche 914-2,107
Merc 450SE,139
Cadillac Fleetwood,130
Fiat X1-9,107
Lincoln Continental,153
Hornet Sportabout,150
Merc 280C,144
Merc 280,115
Dodge Challenger,102
Camaro Z28,137
Merc 230,122
Fiat 128,92
Mazda RX4 Wag,100
Duster 360,145
Maserati Bora,122
Chrysler Imperial,131
Ford Pantera L,99
Merc 280C,143
Datsun 710,137
Maserati Bora,141
Lotus Europa,103
Merc 450SL,84
Hornet Sportabout,143
Pontiac Firebird,106
Mazda RX4 Wag,107
Hornet Sportabout,156
Dodge Challenger,84
Merc 240D,129
Ferrari Dino,134
Merc 280C,129
Valiant,77
Merc 240D,132
Camaro Z28,142
Merc 280C,158
Hornet 4 Drive,129
Ford Pantera L,94
Valiant,99
Lotus Europa,111
Ferrari Dino,138
Valiant,110
Hornet 4 Drive,122
Hornet Sportabout,152
Camaro Z28,149
Volvo 142E,102
Ford Pantera L,88
Cadillac Fleetwood,139
Merc 230,124
Chrysler Imperial,135
Ford Pantera L,108
Datsun 710,142
Honda Civic,146
Mazda RX4 Wag,113
Datsun 710,129
Hornet 4 Drive,133
Merc 450SL,93
Porsche 914-2,98
Pontiac Firebird,107
Volvo 142E,95
Porsche 914-2,115
Dodge Challenger,103
Camaro Z28,131
Merc 280C,145
Honda Civic,146
Volvo 142E,98
Pontiac Firebird,107
Volvo 142E,100
Merc 450SL,87
Mazda RX4 Wag,101
Volvo 142E,84
Hornet 4 Drive,143
Camaro Z28,161
Merc 240D,118
Pontiac Firebird,115
Merc 230,124
Pontiac Firebird,103
Dodge Challenger,98
Valiant,102
Honda Civic,127
Maserati Bora,118
Ferrari Dino,120
Camaro Z28,154
Honda Civic,141
Honda Civic,122
Pontiac Firebird,113
Toyota Corona,119
Honda Civic,132
Dodge Challenger,93
Cadillac Fleetwood,122
Hornet 4 Drive,124
Mazda RX4 Wag,92
Duster 360,132
Merc 230,115
Maserati Bora,122
Cadillac Fleetwood,130
Mazda RX4 Wag,114
Merc 240D,131
Merc 280C,124
Chrysler Imperial,115
Lotus Europa,105
Volvo 142E,101
Volvo 142E,90
Fiat X1-9,90
Maserati Bora,139
Merc 450SE,162
Hornet 4 Drive,138
Volvo 142E,108
Hornet 4 Drive,114
Fiat X1-9,135
Valiant,70
Ferrari Dino,137
Merc 280,145
Duster 360,135
Mazda RX4 Wag,118
Merc 450SL,96
Valiant,106
Merc 230,124
AMC Javelin,155
Toyota Corona,86
Dodge Challenger,109
Merc 280,131
Volvo 142E,85
Toyota Corolla,113
Merc 280C,146
Merc 240D,145
Honda Civic,145
AMC Javelin,152
Lotus Europa,98
Mazda RX4 Wag,103
Datsun 710,130
Merc 280,162
Duster 360,119
Volvo 142E,72
Camaro Z28,158
Hornet 4 Drive,131
Ferrari Dino,148
Duster 360,119
Honda Civic,141
Lincoln Continental,149
Cadillac Fleetwood,131
Ferrari Dino,139
Camaro Z28,141
Merc 280,147
Camaro Z28,140
Porsche 914-2,109
Mazda RX4 Wag,110
Ford Pantera L,86
Mazda RX4 Wag,108
Merc 450SLC,129
Honda Civic,131
Honda Civic,124
Ferrari Dino,131
Hornet 4 Drive,149
Lincoln Continental,147
AMC Javelin,150
Hornet Sportabout,134
Maserati Bora,110
Merc 240D,125
Toyota Corolla,107
Ford Pantera L,90
Honda Civic,132
Valiant,102
Merc 280,148
Fiat 128,106
Merc 450SL,100
Pontiac Firebird,110
Volvo 142E,99
Valiant,97
Valiant,95
Ford Pantera L,84
Pontiac Firebird,117
Merc 450SLC,121
Merc 280,136
Lotus Europa,94
Merc 450SLC,114
Merc 450SLC,110
Volvo 142E,93
Merc 450SE,138
Camaro Z28,155
Camaro Z28,159
Dodge Challenger,103
Merc 450SE,134
Honda Civic,143
Cadillac Fleetwood,129
Dodge Challenger,126
Dodge Challenger,113
Merc 240D,144
Cadillac Fleetwood,135
Merc 450SE,141
Merc 450SLC,116
Ford Pantera L,100
Merc 230,114
Merc 450SLC,120
Cadillac Fleetwood,132
Camaro Z28,152
Hornet Sportabout,138
Mazda RX4 Wag,102
Duster 360,143
Ford Pantera L,90
Merc 450SLC,109
Merc 230,111
Merc 450SE,128
Pontiac Firebird,115
Hornet Sportabout,142
Volvo 142E,89
Cadillac Fleetwood,136
Camaro Z28,147
Valiant,101
Hornet 4 Drive,156
Merc 230,109
Lotus Europa,127
Merc 240D,143
Toyota Corona,84
Toyota Corona,96
Maserati Bora,134
Lincoln Continental,158
Merc 450SE,153
Merc 450SE,136
Ferrari Dino,147
Toyota Corona,111
Pontiac Firebird,111
Mazda RX4 Wag,111
Hornet 4 Drive,127
Merc 450SE,144
Chrysler Imperial,144
Datsun 710,140
Merc 450SL,103
Lincoln Continental,154
AMC Javelin,159
Duster 360,150
Lotus Europa,107
Duster 360,120
Lotus Europa,123
Merc 280,130
Porsche 914-2,98
Toyota Corolla,102
Fiat X1-9,101
Merc 230,121
Dodge Challenger,109
Merc 230,126
Datsun 710,120
Fiat X1-9,97
Maserati Bora,131
Ferrari Dino,139
Ford Pantera L,100
Fiat X1-9,120
Hornet Sportabout,134
Merc 450SE,131
Valiant,91
Honda Civic,142
Honda Civic,136
Honda Civic,127
Pontiac Firebird,112
Volvo 142E,106
Fiat X1-9,131
Toyota Corona,96
Mazda RX4 Wag,112
Valiant,89
Dodge Challenger,116
Dodge Challenger,102
Cadillac Fleetwood,134
Merc 450SLC,118
Hornet Sportabout,121
Mazda RX4 Wag,113
Ferrari Dino,138
Mazda RX4 Wag,97
Merc 450SL,84
Ford Pantera L,103
Merc 450SL,99
Datsun 710,122
Maserati Bora,121
Fiat 128,84
Merc 280C,158
Lincoln Continental,111
Chrysler Imperial,128
Cadillac Fleetwood,143
Ford Pantera L,82
Merc 230,138
Merc 450SL,93
Merc 280,128
Ferrari Dino,132
Toyota Corolla,92
Merc 450SLC,126
Valiant,112
Merc 450SL,88
Valiant,108
Lotus Europa,105
Valiant,107
Ferrari Dino,143
Merc 230,129
Porsche 914-2,100
Merc 230,141
Duster 360,135
Fiat 128,83
Merc 450SLC,122
Honda Civic,137
Merc 450SLC,128
Valiant,98
Merc 280,135
Honda Civic,138
Merc 280,130
Valiant,97
Fiat 128,107
Merc 450SLC,130
Honda Civic,125
Datsun 710,147
Datsun 710,139
Duster 360,130
Fiat X1-9,108
Merc 240D,125
Merc 280,150
Lotus Europa,102
Merc 280,131
Honda Civic,145
Merc 450SLC,126
Fiat 128,102
Merc 450SL,96
Hornet 4 Drive,129
Valiant,116
Duster 360,134
Merc 230,125
Volvo 142E,111
Camaro Z28,146
Honda Civic,152
Porsche 914-2,79
Hornet 4 Drive,129
Pontiac Firebird,124
Fiat X1-9,94
Ford Pantera L,80
Cadillac Fleetwood,123
Honda Civic,140
Datsun 710,111
Maserati Bora,124
Mazda RX4 Wag,102
Cadillac Fleetwood,133
Hornet Sportabout,136
Merc 450SLC,108
Merc 280,132
Dodge Challenger,101
Ford Pantera L,87
Merc 450SL,117
Ford Pantera L,72
Dodge Challenger,124
Merc 280,142
Fiat X1-9,132
Toyota Corolla,111
Merc 450SL,99
Mazda RX4 Wag,78
Lotus Europa,129
Datsun 710,134
Lotus Europa,98
Duster 360,141
Datsun 710,136
Toyota Corolla,119
Merc 450SE,152
Lincoln Continental,128
Merc 450SE,140
Mazda RX4 Wag,95
AMC Javelin,145
Merc 450SE,137
Hornet Sportabout,137
Merc 280,142
Camaro Z28,135
Maserati Bora,143
Lotus Europa,107
Volvo 142E,96
Hornet Sportabout,129
Pontiac Firebird,120
Maserati Bora,117
Lotus Europa,90
Merc 450SL,99
Merc 230,130
Hornet 4 Drive,132
AMC Javelin,155
Pontiac Firebird,127
Honda Civic,128
Merc 450SLC,110
Merc 450SE,132
Ferrari Dino,140
Lotus Europa,125
Fiat X1-9,129
Fiat X1-9,101
Lotus Europa,121
Honda Civic,137
Merc 280C,141
Datsun 710,137
Merc 280C,138
Mazda RX4 Wag,96
Valiant,92
Honda Civic,152
Maserati Bora,120
Merc 450SLC,131
Dodge Challenger,110
Merc 450SE,129
Pontiac Firebird,114
Merc 230,125
Lotus Europa,102
Dodge Challenger,107
AMC Javelin,140
Merc 450SLC,121
Ferrari Dino,146
Volvo 142E,86
Fiat 128,106
Merc 230,128
Honda Civic,137
AMC Javelin,165
Lotus Europa,118
Pontiac Firebird,125
Camaro Z28,149
AMC Javelin,125
Valiant,101
Pontiac Firebird,118
Datsun 710,128
Pontiac Firebird,105
Valiant,94
AMC Javelin,136
Pontiac Firebird,136
Lincoln Continental,132
Datsun 710,143
Merc 230,132
Hornet 4 Drive,128
Merc 450SL,109
Hornet 4 Drive,137
Pontiac Firebird,127
Pontiac Firebird,129
Merc 280C,136
Honda Civic,125
Toyota Corona,100
Valiant,106
Chrysler Imperial,140
Volvo 142E,90
Merc 280C,138
Fiat X1-9,114
Valiant,98
Hornet 4 Drive,132
Dodge Challenger,94
Honda Civic,141
Dodge Challenger,103
Hornet Sportabout,135
Merc 450SL,93
Datsun 710,133
Ferrari Dino,145
AMC Javelin,136
Merc 450SE,136
Honda Civic,138
Fiat 128,95
Lotus Europa,107
Ferrari Dino,126
Hornet Sportabout,134
Merc 450SE,134
Dodge Challenger,103
Mazda RX4 Wag,111
Ferrari Dino,151
Merc 280C,160
Merc 450SLC,135
Dodge Challenger,91
Datsun 710,143
Ford Pantera L,88
Datsun 710,122
Datsun 710,112
Valiant,118
Hornet Sportabout,136
Mazda RX4 Wag,97
Toyota Corona,107
Fiat X1-9,118
Hornet 4 Drive,121
Merc 450SE,141
Fiat 128,81
Mazda RX4 Wag,106
Merc 450SE,154
Honda Civic,119
Fiat X1-9,114
Merc 450SE,134
Volvo 142E,95
Camaro Z28,128
Hornet 4 Drive,125
AMC Javelin,146
Lotus Europa,92
Pontiac Firebird,126
Honda Civic,131
Pontiac Firebird,127
Merc 450SLC,115
Merc 230,136
Dodge Challenger,103
Merc 280,160
Mazda RX4 Wag,116
Porsche 914-2,124
Merc 280,152
Camaro Z28,148
Honda Civic,149
Merc 450SE,148
Mazda RX4 Wag,119
Camaro Z28,138
Mazda RX4 Wag,126
Datsun 710,118
Valiant,107
Valiant,88
Merc 450SLC,118
Fiat 128,96
Merc 240D,130
Ford Pantera L,77
Volvo 142E,87
Merc 450SLC,123
Merc 280C,136
Hornet Sportabout,146
Merc 280C,169
Dodge Challenger,89
Toyota Corona,116
Volvo 142E,68
Cadillac Fleetwood,148
Pontiac Firebird,121
Toyota Corona,107
Merc 240D,165
Duster 360,149
Merc 450SLC,119
Fiat 128,83
Chrysler Imperial,151
Merc 450SLC,129
Duster 360,129
Hornet Sportabout,129
Datsun 710,128
Lincoln Continental,144
Camaro Z28,147
Honda Civic,126
Hornet 4 Drive,131
Duster 360,125
Cadillac Fleetwood,137
Honda Civic,141
Porsche 914-2,92
Merc 280C,126
Merc 240D,147
Merc 230,128
Merc 450SLC,128
Ferrari Dino,127
Hornet 4 Drive,146
Hornet Sportabout,128
Honda Civic,133
Merc 230,127
Cadillac Fleetwood,117
Camaro Z28,130
Porsche 914-2,101
Datsun 710,126
Ferrari Dino,134
Datsun 710,128
Merc 450SLC,142
Ford Pantera L,71
Merc 280C,136
Volvo 142E,98
Ford Pantera L,73
Duster 360,135
Mazda RX4 Wag,98
Ferrari Dino,125
Fiat X1-9,115
Camaro Z28,163
Fiat 128,103
Dodge Challenger,98
Lotus Europa,82
Camaro Z28,138
Valiant,112
Ford Pantera L,90
Valiant,102
Merc 280C,152
Valiant,108
Merc 450SLC,122
Cadillac Fleetwood,144
Merc 280C,145
Valiant,96
Merc 280C,131
Hornet Sportabout,136
Valiant,97
Merc 450SE,122
Merc 230,124
AMC Javelin,164
Hornet Sportabout,149
Toyota Corona,95
Merc 280,133
Hornet Sportabout,134
Merc 230,116
Cadillac Fleetwood,133
Cadillac Fleetwood,148
Mazda RX4 Wag,86
Merc 450SL,96
AMC Javelin,144
Camaro Z28,138
Merc 450SE,140
Hornet Sportabout,154
Cadillac Fleetwood,135
Pontiac Firebird,102
Pontiac Firebird,123
Valiant,92
Pontiac Firebird,122
Chrysler Imperial,155
Camaro Z28,151
Camaro Z28,145
Camaro Z28,124
Merc 450SE,137
Datsun 710,139
Toyota Corolla,108
Mazda RX4 Wag,90
Merc 280,148
Merc 450SL,94
Ferrari Dino,137
Duster 360,111
Merc 280C,154
Mazda RX4 Wag,116
Mazda RX4 Wag,106
Hornet 4 Drive,142
Dodge Challenger,107
Hornet 4 Drive,108
Merc 240D,140
Volvo 142E,86
Merc 230,134
Merc 280,143
Merc 280C,151
Hornet Sportabout,151
